train episode:74, reward = 0.9038248739485721, state count = 9, state = [6, 79, 115, 141, 153, 156, 158, 159, 165]
train episode:75, reward = 0.9535411583141983, state count = 9, state = [6, 38, 79, 94, 146, 154, 156, 158, 165]
train episode:76, reward = 0.9224079844561552, state count = 9, state = [6, 79, 107, 109, 115, 153, 156, 158, 165]
train episode:77, reward = 0.9015068291595973, state count = 9, state = [6, 79, 115, 139, 153, 156, 158, 165, 173]
train episode:78, reward = 0.955159370372369, state count = 9, state = [6, 12, 27, 58, 79, 99, 121, 158, 165]
evaluate episode:7.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 107, 109, 115, 153, 156, 158, 165]
train episode:79, reward = 0.9214831426824223, state count = 9, state = [2, 6, 29, 34, 79, 153, 156, 158, 165]
train episode:80, reward = 0.9551652932406858, state count = 9, state = [6, 31, 76, 79, 88, 156, 158, 165, 180]
train episode:81, reward = 0.9052099957832975, state count = 9, state = [6, 30, 79, 115, 130, 153, 156, 158, 165]
train episode:82, reward = 0.9800199319132439, state count = 9, state = [6, 36, 67, 79, 115, 153, 156, 158, 165]
train episode:83, reward = 0.9224079844561552, state count = 9, state = [6, 79, 107, 109, 115, 153, 156, 158, 165]
train episode:84, reward = 0.921943405257089, state count = 9, state = [6, 55, 79, 88, 104, 153, 156, 158, 165]
train episode:85, reward = 0.9711929546094954, state count = 9, state = [6, 25, 79, 97, 115, 153, 156, 158, 165]
train episode:86, reward = 0.9951205882000277, state count = 9, state = [6, 10, 17, 20, 61, 79, 156, 158, 165]
train episode:87, reward = 0.9012764243361693, state count = 9, state = [6, 79, 115, 116, 144, 153, 156, 158, 165]
train episode:88, reward = 0.9052191461277281, state count = 9, state = [6, 32, 79, 115, 153, 156, 158, 165, 181]
evaluate episode:8.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 107, 109, 115, 153, 156, 158, 165]
train episode:89, reward = 0.9015089824757041, state count = 9, state = [6, 73, 79, 104, 115, 153, 156, 158, 165]
