train episode:113, reward = 0.9939003658894283, state count = 10, state = [17, 76, 81, 121, 141, 158, 160, 161, 170, 174]
train episode:114, reward = 0.9912585034219237, state count = 10, state = [17, 64, 76, 113, 129, 140, 141, 161, 170, 174]
train episode:115, reward = 0.9912576755114044, state count = 10, state = [5, 6, 17, 76, 87, 99, 141, 161, 170, 174]
train episode:116, reward = 0.9906483316897715, state count = 10, state = [17, 76, 87, 92, 141, 159, 161, 170, 174, 183]
train episode:117, reward = 0.986788193854929, state count = 10, state = [5, 17, 75, 76, 87, 141, 161, 164, 170, 174]
train episode:118, reward = 0.9904450796572511, state count = 10, state = [7, 17, 76, 87, 94, 141, 161, 170, 174, 183]
evaluate episode:11.9, reward = 0.9912576755114044, state count = 10, state = [14, 17, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:119, reward = 0.992072748379789, state count = 10, state = [17, 39, 62, 76, 81, 113, 119, 141, 161, 170]
train episode:120, reward = 0.9912576755114044, state count = 10, state = [14, 17, 71, 76, 87, 141, 161, 170, 174, 183]
train episode:121, reward = 0.9873954662209318, state count = 10, state = [14, 17, 60, 72, 74, 76, 79, 141, 161, 170]
train episode:122, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 105, 125, 141, 153, 161, 170, 174]
train episode:123, reward = 0.9953239597069217, state count = 10, state = [17, 33, 66, 76, 140, 141, 159, 161, 170, 174]
train episode:124, reward = 0.9945101219869892, state count = 10, state = [6, 17, 62, 76, 81, 92, 115, 141, 161, 170]
train episode:125, reward = 0.9989829119268789, state count = 10, state = [9, 17, 38, 68, 76, 141, 149, 161, 170, 174]
train episode:126, reward = 0.9902405891176149, state count = 10, state = [17, 56, 76, 87, 119, 141, 155, 161, 170, 174]
train episode:127, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 115, 141, 161, 170, 174, 180, 183]
train episode:128, reward = 0.9912576755114044, state count = 10, state = [17, 76, 85, 87, 121, 141, 161, 170, 174, 183]
evaluate episode:12.9, reward = 0.9912576755114044, state count = 10, state = [14, 17, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:129, reward = 0.9912576755114044, state count = 10, state = [14, 17, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:130, reward = 0.9993898282678476, state count = 10, state = [17, 26, 53, 68, 98, 136, 141, 148, 161, 170]
train episode:131, reward = 0.988207649799157, state count = 10, state = [17, 71, 76, 87, 107, 114, 141, 161, 170, 174]
train episode:132, reward = 0.997763399731757, state count = 10, state = [17, 34, 76, 141, 146, 152, 155, 161, 170, 174]
train episode:133, reward = 0.9934942757796474, state count = 10, state = [15, 17, 75, 76, 141, 146, 161, 170, 173, 174]
train episode:134, reward = 0.9987796598943586, state count = 10, state = [17, 26, 51, 54, 76, 131, 141, 161, 170, 174]
train episode:135, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 99, 133, 141, 161, 170, 174, 183]
train episode:136, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 87, 124, 141, 161, 170, 174, 183]
train episode:137, reward = 0.9851580414008326, state count = 10, state = [17, 52, 57, 76, 87, 141, 161, 170, 174, 183]
train episode:138, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 126, 138, 141, 161, 170, 174, 183]
evaluate episode:13.9, reward = 0.9912576755114044, state count = 10, state = [17, 76, 85, 87, 106, 141, 161, 170, 174, 183]
train episode:139, reward = 0.9912576755114044, state count = 10, state = [13, 17, 76, 87, 141, 161, 170, 174, 178, 183]
train episode:140, reward = 0.9965455366403472, state count = 10, state = [17, 32, 66, 76, 84, 100, 141, 161, 170, 174]
train episode:141, reward = 0.9837381681426816, state count = 10, state = [17, 76, 87, 104, 113, 141, 161, 170, 174, 183]
train episode:142, reward = 0.9912576755114044, state count = 10, state = [17, 76, 85, 87, 118, 141, 161, 170, 174, 183]
train episode:143, reward = 0.9953227195204741, state count = 10, state = [14, 17, 76, 82, 99, 141, 161, 170, 174, 180]
train episode:144, reward = 0.9981703160727257, state count = 10, state = [17, 47, 56, 76, 137, 141, 161, 170, 174, 182]
train episode:145, reward = 0.982722320256008, state count = 10, state = [17, 76, 85, 87, 111, 141, 161, 170, 174, 183]
train episode:146, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 121, 137, 141, 161, 170, 174, 183]
train episode:147, reward = 0.9890223120709454, state count = 10, state = [17, 48, 76, 87, 101, 120, 141, 161, 170, 174]
train episode:148, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 141, 146, 161, 170, 174, 180, 183]
evaluate episode:14.9, reward = 0.9906475071379154, state count = 10, state = [17, 28, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:149, reward = 0.9912576755114044, state count = 10, state = [17, 76, 85, 87, 94, 141, 161, 170, 174, 183]
train episode:150, reward = 0.9912576755114044, state count = 10, state = [12, 17, 76, 87, 118, 141, 161, 170, 174, 183]
train episode:151, reward = 0.9934938618243876, state count = 10, state = [17, 49, 76, 81, 119, 141, 144, 161, 170, 174]
train episode:152, reward = 0.9875995461639715, state count = 10, state = [5, 11, 17, 76, 79, 113, 141, 161, 170, 174]
train episode:153, reward = 0.9953227195204741, state count = 10, state = [5, 17, 41, 76, 77, 141, 158, 161, 170, 174]
train episode:154, reward = 0.9912576755114044, state count = 10, state = [17, 51, 53, 76, 87, 141, 161, 170, 172, 174]
train episode:155, reward = 0.9953227195204741, state count = 10, state = [17, 53, 76, 141, 161, 170, 172, 173, 174, 179]
train episode:156, reward = 0.9912576755114044, state count = 10, state = [17, 37, 76, 87, 130, 141, 161, 170, 174, 181]
train episode:157, reward = 0.9910544234788841, state count = 10, state = [17, 42, 76, 87, 141, 155, 161, 170, 174, 183]
train episode:158, reward = 0.9912576755114044, state count = 10, state = [14, 17, 76, 85, 87, 141, 161, 170, 174, 183]
evaluate episode:15.9, reward = 0.9912576755114044, state count = 10, state = [14, 17, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:159, reward = 0.9884121453767882, state count = 10, state = [17, 31, 76, 87, 141, 145, 161, 165, 170, 174]
train episode:160, reward = 0.9953227195204741, state count = 4, state = [17, 140, 141, 161]
