train episode:93, reward = 0.9414634146341463, state count = 8, state = [15, 51, 76, 96, 100, 118, 132, 134]
train episode:94, reward = 0.9414634146341463, state count = 8, state = [11, 51, 76, 92, 96, 100, 118, 132]
train episode:95, reward = 0.943089430894309, state count = 8, state = [51, 76, 96, 100, 118, 125, 132, 153]
train episode:96, reward = 0.9422764227642276, state count = 8, state = [20, 27, 51, 76, 96, 100, 118, 132]
train episode:97, reward = 0.9422764227642276, state count = 8, state = [20, 27, 51, 76, 96, 100, 118, 132]
train episode:98, reward = 0.9707317073170731, state count = 8, state = [27, 51, 76, 96, 100, 118, 132, 150]
evaluate episode:9.9, reward = 0.9422764227642276, state count = 8, state = [20, 27, 51, 76, 96, 100, 118, 132]
train episode:99, reward = 0.9959349593495935, state count = 8, state = [11, 17, 51, 76, 98, 100, 118, 134]
train episode:100, reward = 0.8991869918699187, state count = 8, state = [15, 29, 51, 76, 96, 100, 118, 140]
train episode:101, reward = 0.9195121951219513, state count = 8, state = [51, 56, 76, 89, 96, 100, 118, 132]
train episode:102, reward = 0.9512195121951219, state count = 8, state = [23, 51, 76, 88, 96, 100, 118, 155]
train episode:103, reward = 0.7577235772357723, state count = 8, state = [19, 47, 51, 76, 96, 100, 118, 132]
train episode:104, reward = 0.9414634146341463, state count = 8, state = [51, 76, 83, 96, 100, 105, 118, 132]
train episode:105, reward = 0.9398373983739837, state count = 8, state = [51, 76, 81, 96, 100, 118, 132, 139]
train episode:106, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:107, reward = 0.9869918699186991, state count = 8, state = [51, 53, 68, 76, 100, 118, 136, 151]
train episode:108, reward = 0.9422764227642276, state count = 8, state = [27, 51, 71, 76, 96, 100, 118, 132]
evaluate episode:10.9, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:109, reward = 0.9536585365853658, state count = 8, state = [39, 51, 62, 64, 76, 96, 100, 118]
train episode:110, reward = 0.9471544715447154, state count = 8, state = [34, 51, 63, 76, 96, 100, 118, 132]
train episode:111, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:112, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 77, 96, 100, 118, 132]
train episode:113, reward = 0.9073170731707317, state count = 8, state = [18, 51, 76, 88, 96, 100, 118, 132]
train episode:114, reward = 0.8707317073170732, state count = 8, state = [28, 51, 76, 96, 100, 118, 129, 132]
train episode:115, reward = 0.9333333333333333, state count = 8, state = [4, 51, 75, 76, 96, 100, 118, 132]
train episode:116, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 96, 100, 118, 132, 140]
train episode:117, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 100, 108, 118, 132, 135]
train episode:118, reward = 0.9422764227642276, state count = 8, state = [7, 51, 76, 96, 100, 118, 132, 163]
evaluate episode:11.9, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:119, reward = 0.9089430894308943, state count = 8, state = [18, 51, 58, 76, 96, 100, 114, 118]
train episode:120, reward = 0.975609756097561, state count = 8, state = [6, 51, 53, 76, 100, 118, 135, 162]
train episode:121, reward = 0.8658536585365854, state count = 8, state = [44, 50, 51, 57, 76, 100, 118, 125]
train episode:122, reward = 0.9707317073170731, state count = 8, state = [51, 56, 76, 78, 96, 100, 118, 132]
train episode:123, reward = 0.9821138211382113, state count = 8, state = [48, 51, 76, 78, 96, 100, 118, 133]
train episode:124, reward = 0.9333333333333333, state count = 8, state = [10, 51, 75, 76, 96, 100, 118, 159]
train episode:125, reward = 0.7577235772357723, state count = 8, state = [19, 27, 51, 68, 76, 96, 100, 118]
train episode:126, reward = 0.9853658536585366, state count = 8, state = [16, 40, 51, 76, 80, 96, 100, 118]
train episode:127, reward = 0.9227642276422764, state count = 8, state = [51, 76, 79, 96, 100, 118, 132, 138]
train episode:128, reward = 0.9292682926829269, state count = 8, state = [25, 73, 76, 100, 101, 117, 118, 128]
evaluate episode:12.9, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:129, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 96, 100, 118, 132, 159]
train episode:130, reward = 0.9504065040650407, state count = 8, state = [4, 14, 64, 76, 90, 100, 101, 147]
train episode:131, reward = 0.943089430894309, state count = 8, state = [1, 51, 76, 93, 96, 100, 118, 125]
train episode:132, reward = 0.9414634146341463, state count = 8, state = [35, 51, 76, 96, 100, 118, 132, 145]
train episode:133, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:134, reward = 0.9300813008130081, state count = 8, state = [4, 51, 66, 76, 84, 96, 100, 118]
train episode:135, reward = 0.9634146341463414, state count = 8, state = [23, 51, 59, 76, 100, 118, 136, 148]
train episode:136, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
