train episode:151, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:152, reward = 96.09756097560975, state count = 7, state = [4, 6, 27, 56, 83, 95, 115]
train episode:153, reward = 97.96747967479675, state count = 7, state = [4, 56, 67, 83, 95, 115, 157]
train episode:154, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:155, reward = 90.73170731707317, state count = 7, state = [4, 6, 7, 56, 83, 95, 115]
train episode:156, reward = 96.01626016260163, state count = 7, state = [4, 27, 56, 83, 95, 115, 174]
train episode:157, reward = 94.39024390243902, state count = 7, state = [4, 6, 16, 56, 83, 95, 115]
train episode:158, reward = 86.66666666666667, state count = 7, state = [2, 4, 24, 28, 56, 83, 95]
evaluate episode:15.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:159, reward = 94.5528455284553, state count = 7, state = [4, 56, 74, 83, 95, 115, 141]
train episode:160, reward = 93.33333333333333, state count = 7, state = [4, 9, 56, 83, 95, 145, 149]
train episode:161, reward = 90.8130081300813, state count = 7, state = [1, 4, 6, 56, 83, 95, 115]
train episode:162, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 70, 83, 95, 115]
train episode:163, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 121]
train episode:164, reward = 99.43089430894308, state count = 7, state = [4, 23, 26, 56, 83, 95, 115]
train episode:165, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 106, 115]
train episode:166, reward = 90.73170731707317, state count = 7, state = [4, 6, 12, 56, 83, 95, 115]
train episode:167, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:168, reward = 89.75609756097562, state count = 7, state = [4, 56, 65, 83, 95, 176, 181]
evaluate episode:16.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:169, reward = 99.91869918699187, state count = 7, state = [23, 76, 83, 95, 122, 134, 164]
train episode:170, reward = 87.96747967479675, state count = 7, state = [4, 6, 29, 56, 83, 95, 115]
train episode:171, reward = 89.91869918699187, state count = 7, state = [4, 56, 83, 91, 95, 107, 115]
train episode:172, reward = 91.6260162601626, state count = 7, state = [4, 56, 83, 95, 100, 115, 181]
train episode:173, reward = 95.04065040650407, state count = 7, state = [4, 18, 56, 83, 95, 97, 107]
train episode:174, reward = 98.45528455284553, state count = 7, state = [4, 30, 38, 56, 83, 95, 101]
train episode:175, reward = 93.2520325203252, state count = 7, state = [4, 56, 59, 83, 95, 171, 174]
train episode:176, reward = 90.48780487804878, state count = 7, state = [4, 9, 44, 56, 83, 95, 115]
train episode:177, reward = 99.26829268292683, state count = 7, state = [4, 31, 33, 56, 83, 84, 95]
train episode:178, reward = 91.30081300813008, state count = 7, state = [4, 56, 81, 83, 95, 96, 115]
evaluate episode:17.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:179, reward = 93.2520325203252, state count = 7, state = [4, 6, 56, 83, 95, 115, 180]
train episode:180, reward = 95.85365853658536, state count = 7, state = [4, 27, 56, 83, 95, 115, 121]
train episode:181, reward = 89.83739837398373, state count = 7, state = [4, 24, 56, 83, 95, 115, 175]
train episode:182, reward = 96.17886178861788, state count = 7, state = [4, 5, 56, 83, 95, 165, 177]
train episode:183, reward = 92.92682926829269, state count = 7, state = [4, 56, 83, 95, 115, 147, 151]
train episode:184, reward = 87.3170731707317, state count = 7, state = [4, 18, 39, 56, 83, 95, 111]
train episode:185, reward = 94.5528455284553, state count = 7, state = [35, 56, 83, 90, 95, 104, 143]
train episode:186, reward = 92.19512195121952, state count = 7, state = [4, 56, 83, 95, 112, 174, 182]
train episode:187, reward = 99.34959349593497, state count = 7, state = [8, 17, 75, 80, 95, 121, 151]
train episode:188, reward = 90.16260162601625, state count = 7, state = [4, 56, 83, 95, 115, 125, 140]
evaluate episode:18.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:189, reward = 84.22764227642277, state count = 7, state = [4, 43, 56, 59, 83, 95, 98]
train episode:190, reward = 90.8130081300813, state count = 7, state = [3, 4, 21, 56, 83, 91, 95]
train episode:191, reward = 89.83739837398373, state count = 7, state = [4, 56, 83, 95, 100, 115, 137]
train episode:192, reward = 85.04065040650407, state count = 7, state = [4, 43, 56, 71, 83, 95, 115]
train episode:193, reward = 92.76422764227642, state count = 6, state = [4, 56, 83, 95, 115, 182]
train episode:194, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:195, reward = 93.08943089430895, state count = 7, state = [56, 79, 83, 87, 95, 164, 174]
train episode:196, reward = 89.02439024390245, state count = 7, state = [9, 56, 63, 83, 95, 112, 115]
train episode:197, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:198, reward = 93.41463414634147, state count = 7, state = [32, 56, 83, 95, 130, 155, 177]
evaluate episode:19.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:199, reward = 96.34146341463415, state count = 7, state = [4, 56, 83, 95, 102, 115, 162]
train episode:200, reward = 93.17073170731707, state count = 7, state = [4, 56, 83, 95, 115, 126, 146]
train episode:201, reward = 75.77235772357723, state count = 7, state = [4, 19, 56, 83, 95, 115, 126]
train episode:202, reward = 93.2520325203252, state count = 7, state = [4, 56, 83, 92, 95, 159, 161]
train episode:203, reward = 90.73170731707317, state count = 7, state = [3, 4, 6, 56, 83, 95, 115]
train episode:204, reward = 90.32520325203251, state count = 7, state = [4, 21, 56, 83, 95, 115, 123]
train episode:205, reward = 96.91056910569105, state count = 7, state = [4, 48, 56, 83, 95, 139, 181]
