train episode:121, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:122, reward = 0.9008130081300812, state count = 5, state = [15, 43, 90, 122, 123]
train episode:123, reward = 0.8845528455284553, state count = 5, state = [15, 43, 90, 110, 159]
train episode:124, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:125, reward = 0.9308943089430894, state count = 5, state = [15, 43, 92, 139, 161]
train episode:126, reward = 0.6902439024390243, state count = 5, state = [15, 43, 94, 103, 122]
train episode:127, reward = 0.8048780487804879, state count = 5, state = [7, 15, 43, 90, 122]
train episode:128, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
evaluate episode:12.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:129, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:130, reward = 0.8016260162601626, state count = 5, state = [15, 43, 90, 102, 122]
train episode:131, reward = 0.8032520325203252, state count = 5, state = [15, 24, 43, 90, 122]
train episode:132, reward = 0.8016260162601626, state count = 5, state = [15, 43, 90, 107, 122]
train episode:133, reward = 0.9504065040650407, state count = 5, state = [15, 27, 43, 90, 122]
train episode:134, reward = 0.7943089430894309, state count = 5, state = [15, 43, 90, 100, 144]
train episode:135, reward = 0.8056910569105691, state count = 5, state = [15, 43, 90, 121, 122]
train episode:136, reward = 0.7886178861788617, state count = 5, state = [15, 43, 84, 90, 106]
train episode:137, reward = 0.8032520325203252, state count = 5, state = [15, 43, 90, 122, 142]
train episode:138, reward = 0.9886178861788618, state count = 5, state = [15, 33, 43, 90, 122]
evaluate episode:13.9, reward = 0.9504065040650407, state count = 5, state = [15, 27, 43, 90, 122]
train episode:139, reward = 0.9390243902439024, state count = 5, state = [13, 15, 43, 66, 90]
train episode:140, reward = 0.989430894308943, state count = 5, state = [36, 43, 126, 149, 160]
train episode:141, reward = 0.8609756097560975, state count = 5, state = [15, 43, 90, 120, 122]
train episode:142, reward = 0.9975609756097561, state count = 5, state = [15, 43, 47, 64, 90]
train episode:143, reward = 0.8032520325203252, state count = 5, state = [15, 43, 90, 122, 138]
train episode:144, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:145, reward = 0.8056910569105691, state count = 5, state = [15, 43, 90, 94, 122]
train episode:146, reward = 0.9512195121951219, state count = 5, state = [15, 43, 76, 90, 156]
train episode:147, reward = 0.9934959349593496, state count = 5, state = [15, 43, 47, 90, 122]
train episode:148, reward = 0.9504065040650407, state count = 5, state = [15, 27, 43, 90, 122]
evaluate episode:14.9, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:149, reward = 0.8065040650406504, state count = 5, state = [15, 43, 90, 122, 144]
train episode:150, reward = 0.9682926829268292, state count = 5, state = [15, 38, 43, 70, 95]
