train episode:106, reward = 0.8365853658536585, state count = 7, state = [18, 21, 89, 109, 123, 133, 153]
train episode:107, reward = 0.8471544715447155, state count = 7, state = [18, 26, 109, 123, 133, 140, 153]
train episode:108, reward = 0.8422764227642277, state count = 7, state = [18, 25, 109, 114, 123, 128, 135]
evaluate episode:10.9, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:109, reward = 0.8341463414634146, state count = 7, state = [18, 72, 98, 109, 117, 123, 153]
train episode:110, reward = 0.9634146341463414, state count = 7, state = [18, 23, 71, 82, 109, 123, 161]
train episode:111, reward = 0.824390243902439, state count = 7, state = [18, 73, 109, 123, 133, 142, 153]
train episode:112, reward = 0.8764227642276423, state count = 7, state = [18, 44, 89, 109, 123, 133, 153]
train episode:113, reward = 0.843089430894309, state count = 7, state = [18, 38, 109, 123, 133, 152, 153]
train episode:114, reward = 0.8349593495934959, state count = 7, state = [9, 18, 89, 109, 123, 133, 153]
train episode:115, reward = 0.8341463414634146, state count = 7, state = [8, 18, 109, 123, 132, 133, 153]
train episode:116, reward = 0.8341463414634146, state count = 7, state = [1, 18, 109, 123, 133, 136, 153]
train episode:117, reward = 0.9707317073170731, state count = 7, state = [18, 47, 109, 123, 138, 153, 163]
train episode:118, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
evaluate episode:11.9, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:119, reward = 0.9504065040650407, state count = 7, state = [18, 30, 67, 109, 123, 133, 153]
train episode:120, reward = 0.9186991869918699, state count = 7, state = [18, 28, 41, 50, 114, 123, 133]
train episode:121, reward = 0.8512195121951219, state count = 7, state = [15, 18, 90, 105, 109, 123, 153]
train episode:122, reward = 0.8934959349593496, state count = 7, state = [18, 52, 55, 88, 109, 123, 147]
train episode:123, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 133, 143, 153]
train episode:124, reward = 0.8390243902439024, state count = 7, state = [18, 42, 109, 117, 123, 133, 153]
train episode:125, reward = 0.8382113821138212, state count = 7, state = [18, 30, 101, 109, 123, 133, 153]
train episode:126, reward = 0.8341463414634146, state count = 7, state = [18, 100, 109, 123, 133, 153, 155]
train episode:127, reward = 0.9699186991869919, state count = 7, state = [18, 47, 101, 109, 123, 133, 153]
train episode:128, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 132, 133, 153]
evaluate episode:12.9, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 131, 133, 153]
train episode:129, reward = 0, state count = 0, state = []
train episode:130, reward = 0.8406504065040651, state count = 7, state = [18, 36, 109, 123, 133, 149, 153]
train episode:131, reward = 0.8821138211382114, state count = 7, state = [18, 45, 60, 123, 138, 141, 153]
train episode:132, reward = 0.759349593495935, state count = 7, state = [18, 19, 24, 109, 123, 140, 153]
train episode:133, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 131, 133, 153]
train episode:134, reward = 0.8341463414634146, state count = 7, state = [18, 71, 94, 109, 123, 144, 153]
train episode:135, reward = 0.8373983739837398, state count = 7, state = [18, 89, 93, 109, 123, 133, 153]
train episode:136, reward = 0.8723577235772357, state count = 7, state = [6, 18, 77, 109, 123, 133, 153]
train episode:137, reward = 0.8365853658536585, state count = 7, state = [18, 89, 105, 109, 123, 133, 153]
train episode:138, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 127, 133, 153]
evaluate episode:13.9, reward = 0.8365853658536585, state count = 7, state = [18, 89, 105, 109, 123, 133, 153]
train episode:139, reward = 0.8365853658536585, state count = 7, state = [18, 71, 89, 109, 123, 133, 153]
train episode:140, reward = 0.7601626016260162, state count = 7, state = [18, 19, 55, 63, 95, 114, 123]
train episode:141, reward = 0.8341463414634146, state count = 7, state = [18, 96, 109, 123, 131, 133, 153]
train episode:142, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 133, 138, 153]
train episode:143, reward = 0.8357723577235773, state count = 7, state = [13, 18, 89, 109, 123, 133, 153]
train episode:144, reward = 0.9764227642276423, state count = 7, state = [10, 18, 60, 61, 79, 109, 123]
train episode:145, reward = 0.8772357723577235, state count = 7, state = [18, 89, 92, 109, 123, 133, 153]
train episode:146, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 133, 143, 153]
train episode:147, reward = 0.8707317073170732, state count = 7, state = [18, 77, 109, 123, 133, 153, 154]
train episode:148, reward = 0.9097560975609756, state count = 6, state = [18, 105, 109, 119, 123, 153]
evaluate episode:14.9, reward = 0.8365853658536585, state count = 7, state = [18, 89, 105, 109, 123, 133, 153]
train episode:149, reward = 0.9032520325203252, state count = 7, state = [10, 18, 109, 113, 123, 133, 153]
train episode:150, reward = 0.8682926829268293, state count = 7, state = [16, 18, 109, 123, 125, 133, 153]
train episode:151, reward = 0.8040650406504065, state count = 7, state = [18, 57, 109, 123, 132, 133, 153]
train episode:152, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 133, 146, 153]
train episode:153, reward = 0.8886178861788618, state count = 7, state = [18, 26, 29, 96, 109, 110, 123]
train episode:154, reward = 0.8373983739837398, state count = 7, state = [18, 89, 93, 109, 123, 133, 153]
train episode:155, reward = 0.8333333333333334, state count = 7, state = [18, 70, 109, 120, 123, 133, 153]
train episode:156, reward = 0.9008130081300812, state count = 7, state = [18, 55, 109, 111, 123, 133, 153]
train episode:157, reward = 0.8341463414634146, state count = 7, state = [10, 18, 34, 109, 123, 141, 153]
train episode:158, reward = 0.943089430894309, state count = 7, state = [18, 45, 65, 109, 123, 133, 153]
evaluate episode:15.9, reward = 0.8349593495934959, state count = 7, state = [18, 41, 109, 123, 131, 133, 153]
train episode:159, reward = 0.8585365853658536, state count = 7, state = [18, 109, 123, 131, 133, 153, 163]
train episode:160, reward = 0.9910569105691057, state count = 7, state = [17, 18, 97, 109, 123, 133, 153]
train episode:161, reward = 0.8349593495934959, state count = 7, state = [18, 41, 109, 123, 131, 133, 153]
train episode:162, reward = 0.8349593495934959, state count = 7, state = [18, 41, 109, 123, 131, 133, 153]
train episode:163, reward = 0.8349593495934959, state count = 7, state = [18, 41, 109, 123, 131, 133, 153]
train episode:164, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 125, 133, 141, 153]
train episode:165, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 131, 133, 140, 153]
train episode:166, reward = 0.9146341463414634, state count = 7, state = [18, 76, 109, 123, 133, 153, 155]
train episode:167, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 131, 133, 143, 153]
train episode:168, reward = 0.959349593495935, state count = 7, state = [6, 18, 48, 84, 109, 123, 126]
evaluate episode:16.9, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 131, 133, 153]
train episode:169, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 131, 133, 149, 153]
train episode:170, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 131, 133, 153]
train episode:171, reward = 0.8195121951219512, state count = 7, state = [18, 31, 109, 123, 131, 133, 153]
train episode:172, reward = 0.8341463414634146, state count = 7, state = [4, 18, 109, 123, 131, 133, 153]
train episode:173, reward = 0.9699186991869919, state count = 7, state = [18, 20, 54, 109, 123, 133, 153]
train episode:174, reward = 0.8780487804878049, state count = 7, state = [13, 18, 66, 109, 123, 133, 153]
train episode:175, reward = 0.9634146341463414, state count = 7, state = [18, 23, 109, 123, 131, 133, 153]
train episode:176, reward = 0.8341463414634146, state count = 7, state = [4, 18, 109, 123, 124, 142, 153]
train episode:177, reward = 0.8617886178861789, state count = 7, state = [18, 91, 109, 111, 123, 133, 153]
train episode:178, reward = 0.8569105691056911, state count = 7, state = [18, 78, 109, 123, 133, 153, 157]
evaluate episode:17.9, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 131, 133, 153]
train episode:179, reward = 0.8479674796747968, state count = 7, state = [18, 49, 109, 123, 124, 133, 153]
train episode:180, reward = 0.8341463414634146, state count = 7, state = [18, 105, 109, 123, 131, 133, 153]
train episode:181, reward = 0.8910569105691057, state count = 7, state = [18, 44, 105, 109, 123, 149, 153]
train episode:182, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 128, 131, 133, 153]
train episode:183, reward = 0.8211382113821138, state count = 7, state = [18, 43, 109, 123, 127, 133, 153]
train episode:184, reward = 0.8536585365853658, state count = 7, state = [18, 63, 109, 123, 132, 133, 153]
train episode:185, reward = 0.9186991869918699, state count = 7, state = [18, 24, 85, 86, 95, 123, 126]
train episode:186, reward = 0.8333333333333334, state count = 7, state = [18, 51, 105, 109, 123, 133, 153]
train episode:187, reward = 0.8943089430894309, state count = 7, state = [18, 21, 68, 109, 122, 123, 153]
train episode:188, reward = 0.9308943089430894, state count = 7, state = [18, 25, 109, 123, 131, 133, 153]
evaluate episode:18.9, reward = 0.8390243902439024, state count = 7, state = [18, 42, 109, 123, 131, 133, 153]
train episode:189, reward = 0.883739837398374, state count = 7, state = [18, 58, 109, 123, 129, 133, 153]
train episode:190, reward = 0.8861788617886179, state count = 7, state = [18, 45, 109, 123, 131, 133, 153]
train episode:191, reward = 0.9617886178861789, state count = 7, state = [18, 32, 47, 74, 109, 110, 123]
train episode:192, reward = 0.9682926829268292, state count = 7, state = [18, 22, 32, 54, 109, 123, 153]
train episode:193, reward = 0.8658536585365854, state count = 7, state = [18, 66, 89, 98, 123, 143, 145]
train episode:194, reward = 0.8463414634146341, state count = 7, state = [18, 27, 52, 109, 123, 133, 153]
train episode:195, reward = 0.8349593495934959, state count = 7, state = [18, 21, 34, 93, 109, 123, 140]
train episode:196, reward = 0.8390243902439024, state count = 7, state = [18, 42, 109, 123, 131, 133, 153]
train episode:197, reward = 0.8373983739837398, state count = 7, state = [18, 86, 109, 123, 131, 133, 153]
train episode:198, reward = 0.8512195121951219, state count = 7, state = [18, 51, 64, 109, 123, 150, 153]
evaluate episode:19.9, reward = 0.8390243902439024, state count = 7, state = [18, 42, 109, 123, 131, 133, 153]
train episode:199, reward = 0.8341463414634146, state count = 7, state = [18, 106, 109, 123, 131, 133, 153]
train episode:200, reward = 0.8642276422764228, state count = 7, state = [18, 60, 73, 109, 123, 149, 153]
train episode:201, reward = 0.8341463414634146, state count = 7, state = [13, 18, 109, 123, 132, 133, 153]
train episode:202, reward = 0.8967479674796748, state count = 7, state = [18, 22, 60, 109, 123, 150, 153]
train episode:203, reward = 0.8349593495934959, state count = 7, state = [18, 109, 115, 123, 131, 133, 153]
train episode:204, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 131, 133, 153]
train episode:205, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 131, 133, 140, 153]
train episode:206, reward = 0.8341463414634146, state count = 7, state = [12, 18, 109, 123, 131, 133, 153]
train episode:207, reward = 0.8341463414634146, state count = 7, state = [8, 18, 109, 123, 126, 133, 153]
train episode:208, reward = 0.8357723577235773, state count = 7, state = [2, 18, 109, 123, 128, 133, 153]
evaluate episode:20.9, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 131, 133, 145, 153]
