train episode:79, reward = 0.9983739837398374, state count = 9, state = [15, 58, 61, 85, 88, 102, 119, 160, 177]
train episode:80, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:81, reward = 0.9991869918699187, state count = 9, state = [15, 22, 58, 85, 102, 119, 160, 171, 177]
train episode:82, reward = 0.9723577235772358, state count = 9, state = [15, 58, 70, 85, 102, 113, 119, 160, 177]
train episode:83, reward = 0.9991869918699187, state count = 9, state = [15, 22, 58, 74, 85, 102, 119, 160, 177]
train episode:84, reward = 0.9569105691056911, state count = 9, state = [15, 58, 85, 88, 102, 119, 148, 160, 177]
train episode:85, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:86, reward = 0.9569105691056911, state count = 9, state = [5, 15, 58, 85, 88, 102, 119, 160, 177]
train episode:87, reward = 0.9634146341463414, state count = 9, state = [15, 58, 85, 102, 119, 152, 160, 161, 177]
train episode:88, reward = 0.9642276422764228, state count = 9, state = [15, 85, 102, 119, 122, 123, 160, 176, 177]
evaluate episode:8.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:89, reward = 0.9959349593495935, state count = 9, state = [15, 26, 30, 85, 87, 102, 119, 160, 177]
train episode:90, reward = 0, state count = 0, state = []
train episode:91, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:92, reward = 0.9650406504065041, state count = 9, state = [15, 58, 85, 88, 102, 119, 160, 177, 180]
train episode:93, reward = 0.9617886178861789, state count = 9, state = [15, 58, 59, 85, 102, 119, 158, 160, 177]
train episode:94, reward = 0.9439024390243902, state count = 9, state = [71, 75, 86, 95, 102, 151, 153, 163, 177]
train episode:95, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:96, reward = 0.9365853658536586, state count = 9, state = [15, 39, 55, 85, 102, 119, 139, 160, 177]
train episode:97, reward = 0.9414634146341463, state count = 9, state = [15, 21, 85, 102, 119, 142, 160, 173, 177]
train episode:98, reward = 0.9357723577235773, state count = 9, state = [15, 55, 82, 85, 102, 119, 138, 160, 177]
evaluate episode:9.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:99, reward = 0.9560975609756097, state count = 9, state = [15, 58, 77, 85, 102, 119, 160, 177, 179]
train episode:100, reward = 0.9642276422764228, state count = 9, state = [15, 58, 85, 96, 102, 119, 160, 176, 177]
train episode:101, reward = 0.9471544715447154, state count = 9, state = [15, 50, 53, 58, 85, 102, 119, 160, 177]
train episode:102, reward = 0.9959349593495935, state count = 9, state = [15, 54, 85, 102, 119, 131, 153, 175, 177]
train episode:103, reward = 0.9902439024390244, state count = 9, state = [15, 33, 87, 102, 119, 138, 148, 155, 177]
train episode:104, reward = 0.9723577235772358, state count = 9, state = [15, 58, 85, 88, 102, 109, 119, 160, 177]
train episode:105, reward = 0.9536585365853658, state count = 9, state = [15, 85, 88, 102, 119, 142, 160, 172, 177]
train episode:106, reward = 0.9560975609756097, state count = 9, state = [15, 58, 85, 88, 102, 119, 155, 160, 177]
train episode:107, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:108, reward = 0.9439024390243902, state count = 9, state = [15, 58, 85, 100, 102, 119, 148, 160, 177]
evaluate episode:10.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:109, reward = 0.9601626016260163, state count = 9, state = [15, 75, 85, 102, 115, 119, 136, 137, 177]
train episode:110, reward = 0.9560975609756097, state count = 9, state = [15, 37, 58, 85, 88, 102, 119, 160, 177]
train episode:111, reward = 0.9585365853658536, state count = 9, state = [15, 50, 58, 85, 88, 102, 119, 160, 177]
train episode:112, reward = 0.9975609756097561, state count = 9, state = [15, 25, 38, 85, 102, 103, 119, 160, 177]
train episode:113, reward = 0.948780487804878, state count = 9, state = [5, 15, 58, 85, 102, 119, 142, 160, 177]
train episode:114, reward = 0.9439024390243902, state count = 9, state = [15, 58, 85, 102, 106, 119, 140, 160, 177]
train episode:115, reward = 0.9869918699186991, state count = 9, state = [14, 15, 68, 85, 102, 119, 129, 147, 177]
train episode:116, reward = 0.9609756097560975, state count = 9, state = [15, 58, 85, 88, 102, 119, 126, 160, 177]
train episode:117, reward = 0.9967479674796748, state count = 9, state = [11, 15, 23, 85, 88, 102, 146, 156, 177]
train episode:118, reward = 0.9715447154471545, state count = 9, state = [15, 85, 102, 119, 127, 132, 163, 164, 177]
evaluate episode:11.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:119, reward = 0.9569105691056911, state count = 9, state = [15, 42, 58, 85, 88, 102, 119, 160, 177]
train episode:120, reward = 0.9959349593495935, state count = 9, state = [15, 22, 52, 85, 102, 119, 155, 160, 177]
train episode:121, reward = 0.9520325203252032, state count = 9, state = [15, 73, 85, 102, 119, 123, 138, 160, 177]
train episode:122, reward = 0.9447154471544715, state count = 9, state = [15, 58, 85, 102, 119, 143, 149, 160, 177]
train episode:123, reward = 0.9658536585365853, state count = 9, state = [15, 58, 85, 102, 104, 119, 120, 160, 177]
train episode:124, reward = 0.9821138211382113, state count = 9, state = [4, 15, 18, 85, 98, 102, 107, 119, 177]
train episode:125, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:126, reward = 0.9455284552845529, state count = 9, state = [15, 43, 58, 85, 102, 119, 140, 160, 177]
train episode:127, reward = 0.9528455284552846, state count = 9, state = [15, 21, 85, 87, 102, 119, 160, 177, 182]
train episode:128, reward = 0.9390243902439024, state count = 9, state = [15, 59, 85, 98, 102, 119, 160, 177, 180]
evaluate episode:12.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:129, reward = 0.9886178861788618, state count = 9, state = [15, 58, 67, 85, 88, 102, 119, 160, 177]
train episode:130, reward = 0.9406504065040651, state count = 9, state = [15, 29, 82, 85, 95, 102, 119, 177, 183]
train episode:131, reward = 0.9991869918699187, state count = 9, state = [15, 17, 58, 85, 102, 119, 127, 160, 177]
train episode:132, reward = 0.9479674796747968, state count = 9, state = [5, 15, 58, 85, 94, 102, 119, 160, 177]
train episode:133, reward = 0.9943089430894309, state count = 9, state = [9, 15, 17, 43, 85, 102, 119, 160, 177]
train episode:134, reward = 0.9878048780487805, state count = 9, state = [15, 58, 67, 85, 89, 102, 119, 160, 177]
train episode:135, reward = 0.9959349593495935, state count = 9, state = [15, 54, 85, 102, 119, 146, 156, 166, 177]
train episode:136, reward = 0.989430894308943, state count = 9, state = [15, 37, 60, 68, 85, 102, 119, 177, 178]
train episode:137, reward = 1.0, state count = 9, state = [15, 17, 28, 68, 80, 85, 102, 119, 177]
train episode:138, reward = 0.9601626016260163, state count = 9, state = [15, 58, 85, 88, 90, 102, 119, 160, 177]
evaluate episode:13.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:139, reward = 0.9788617886178862, state count = 9, state = [15, 58, 85, 102, 119, 133, 160, 176, 177]
train episode:140, reward = 0.9796747967479674, state count = 9, state = [15, 41, 61, 85, 102, 104, 119, 160, 177]
train episode:141, reward = 0.9560975609756097, state count = 9, state = [15, 85, 102, 105, 107, 119, 158, 165, 177]
train episode:142, reward = 0.9463414634146341, state count = 9, state = [15, 85, 95, 102, 109, 119, 154, 177, 178]
train episode:143, reward = 0.9747967479674797, state count = 9, state = [15, 48, 58, 85, 90, 102, 119, 160, 177]
train episode:144, reward = 0.926829268292683, state count = 9, state = [15, 50, 85, 102, 119, 142, 158, 160, 177]
train episode:145, reward = 0.9723577235772358, state count = 9, state = [15, 53, 85, 102, 118, 119, 160, 162, 177]
train episode:146, reward = 0.9495934959349593, state count = 9, state = [1, 15, 58, 85, 102, 119, 129, 160, 177]
train episode:147, reward = 0.8910569105691057, state count = 9, state = [4, 15, 63, 85, 94, 102, 119, 160, 177]
train episode:148, reward = 0.9772357723577236, state count = 9, state = [8, 15, 62, 85, 102, 119, 160, 169, 177]
evaluate episode:14.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:149, reward = 0.9341463414634147, state count = 9, state = [15, 85, 86, 102, 109, 119, 138, 160, 177]
train episode:150, reward = 0.9479674796747968, state count = 9, state = [15, 58, 69, 85, 90, 102, 119, 160, 177]
train episode:151, reward = 0.8235772357723578, state count = 2, state = [102, 177]
train episode:152, reward = 0.9951219512195122, state count = 9, state = [15, 26, 58, 85, 102, 119, 158, 160, 177]
train episode:153, reward = 0.8577235772357723, state count = 9, state = [8, 15, 85, 102, 116, 118, 119, 160, 177]
train episode:154, reward = 0.9601626016260163, state count = 9, state = [15, 58, 85, 88, 91, 102, 119, 160, 177]
train episode:155, reward = 0.9991869918699187, state count = 9, state = [15, 25, 42, 58, 85, 102, 119, 160, 177]
train episode:156, reward = 0.9617886178861789, state count = 9, state = [15, 58, 73, 85, 102, 119, 126, 160, 177]
train episode:157, reward = 0.9569105691056911, state count = 9, state = [5, 15, 58, 85, 88, 102, 119, 160, 177]
train episode:158, reward = 0.9910569105691057, state count = 9, state = [15, 58, 68, 85, 102, 116, 119, 160, 177]
evaluate episode:15.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:159, reward = 0.9447154471544715, state count = 9, state = [15, 24, 58, 85, 102, 119, 145, 160, 177]
train episode:160, reward = 0.9975609756097561, state count = 9, state = [15, 36, 54, 68, 85, 102, 119, 160, 177]
train episode:161, reward = 0.9796747967479674, state count = 9, state = [15, 45, 58, 85, 102, 119, 139, 160, 177]
train episode:162, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:163, reward = 0.9666666666666667, state count = 9, state = [15, 85, 102, 111, 119, 137, 160, 166, 177]
train episode:164, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:165, reward = 0.9609756097560975, state count = 9, state = [15, 24, 28, 58, 85, 102, 119, 160, 177]
train episode:166, reward = 0.8983739837398373, state count = 9, state = [15, 69, 85, 102, 119, 156, 157, 160, 177]
train episode:167, reward = 0.8902439024390244, state count = 9, state = [15, 24, 85, 88, 102, 104, 119, 160, 177]
train episode:168, reward = 0.916260162601626, state count = 9, state = [15, 80, 85, 102, 118, 119, 135, 160, 177]
evaluate episode:16.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:169, reward = 0.9991869918699187, state count = 9, state = [15, 22, 58, 85, 102, 119, 160, 174, 177]
train episode:170, reward = 0.9975609756097561, state count = 9, state = [15, 46, 47, 85, 102, 119, 155, 160, 177]
train episode:171, reward = 0.9813008130081301, state count = 9, state = [15, 35, 58, 85, 102, 119, 160, 171, 177]
train episode:172, reward = 0.9959349593495935, state count = 9, state = [15, 25, 85, 101, 102, 119, 134, 160, 177]
train episode:173, reward = 0.9959349593495935, state count = 9, state = [15, 44, 61, 63, 85, 102, 119, 162, 177]
train episode:174, reward = 0.916260162601626, state count = 9, state = [15, 80, 84, 85, 99, 102, 119, 160, 177]
train episode:175, reward = 0.9951219512195122, state count = 9, state = [12, 34, 54, 71, 82, 85, 102, 172, 177]
train episode:176, reward = 0.9504065040650407, state count = 9, state = [15, 85, 89, 102, 119, 129, 133, 160, 177]
train episode:177, reward = 0.943089430894309, state count = 9, state = [15, 39, 85, 93, 102, 119, 160, 177, 182]
train episode:178, reward = 0.9439024390243902, state count = 9, state = [15, 58, 85, 102, 107, 119, 158, 160, 177]
evaluate episode:17.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:179, reward = 0.9951219512195122, state count = 9, state = [15, 27, 32, 47, 85, 102, 119, 160, 177]
train episode:180, reward = 0.983739837398374, state count = 9, state = [15, 41, 67, 85, 91, 102, 110, 119, 177]
train episode:181, reward = 0.9528455284552846, state count = 9, state = [15, 53, 69, 85, 102, 114, 119, 160, 177]
train episode:182, reward = 0.9617886178861789, state count = 9, state = [15, 58, 85, 88, 102, 119, 132, 160, 177]
train episode:183, reward = 0.9926829268292683, state count = 9, state = [15, 20, 58, 85, 102, 119, 160, 162, 177]
train episode:184, reward = 0.948780487804878, state count = 9, state = [1, 15, 58, 64, 85, 102, 119, 160, 177]
