train episode:77, reward = 0.9577235772357724, state count = 9, state = [11, 25, 41, 57, 67, 109, 134, 147, 158]
train episode:78, reward = 0.9682926829268292, state count = 9, state = [31, 41, 57, 67, 102, 109, 134, 144, 158]
evaluate episode:7.9, reward = 0.9577235772357724, state count = 9, state = [41, 51, 57, 67, 109, 117, 134, 147, 158]
train episode:79, reward = 0.9634146341463414, state count = 9, state = [41, 57, 67, 89, 109, 117, 134, 147, 158]
train episode:80, reward = 0.9577235772357724, state count = 9, state = [24, 41, 57, 67, 109, 134, 147, 148, 158]
train episode:81, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 109, 117, 134, 147, 158]
train episode:82, reward = 0.9577235772357724, state count = 9, state = [21, 41, 51, 57, 67, 109, 134, 147, 158]
train episode:83, reward = 0.967479674796748, state count = 9, state = [41, 57, 65, 67, 109, 117, 134, 147, 158]
train episode:84, reward = 0.973170731707317, state count = 9, state = [1, 26, 41, 57, 67, 86, 127, 134, 153]
train episode:85, reward = 0.959349593495935, state count = 9, state = [41, 50, 57, 67, 109, 134, 147, 158, 162]
train episode:86, reward = 0.973170731707317, state count = 9, state = [39, 41, 57, 67, 72, 98, 123, 134, 144]
train episode:87, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 69, 109, 134, 149, 154, 158]
train episode:88, reward = 0.973170731707317, state count = 9, state = [41, 48, 57, 67, 73, 109, 130, 134, 158]
evaluate episode:8.9, reward = 0.967479674796748, state count = 9, state = [41, 57, 67, 97, 109, 117, 134, 147, 158]
train episode:89, reward = 0.9601626016260163, state count = 9, state = [41, 57, 67, 73, 109, 134, 136, 143, 158]
train episode:90, reward = 0.9577235772357724, state count = 9, state = [3, 41, 57, 67, 74, 101, 109, 134, 158]
train episode:91, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 109, 122, 134, 147, 150, 158]
train episode:92, reward = 0.967479674796748, state count = 9, state = [41, 57, 67, 97, 109, 117, 134, 147, 158]
train episode:93, reward = 0.9585365853658536, state count = 9, state = [3, 41, 57, 67, 94, 99, 109, 134, 158]
train episode:94, reward = 0.983739837398374, state count = 9, state = [12, 41, 43, 57, 61, 67, 109, 134, 158]
train episode:95, reward = 0.959349593495935, state count = 9, state = [41, 43, 57, 67, 76, 90, 109, 134, 158]
train episode:96, reward = 0.9552845528455285, state count = 9, state = [41, 49, 57, 67, 104, 109, 120, 134, 158]
train episode:97, reward = 0.9617886178861789, state count = 9, state = [36, 41, 55, 57, 67, 83, 109, 134, 158]
train episode:98, reward = 0.9780487804878049, state count = 9, state = [17, 41, 57, 67, 109, 116, 134, 148, 158]
evaluate episode:9.9, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 109, 117, 134, 147, 158]
train episode:99, reward = 0.9585365853658536, state count = 9, state = [32, 41, 56, 57, 67, 109, 134, 145, 158]
train episode:100, reward = 0.973170731707317, state count = 9, state = [1, 41, 45, 57, 67, 131, 134, 140, 158]
train episode:101, reward = 0.7666666666666667, state count = 9, state = [19, 41, 48, 57, 67, 99, 103, 134, 162]
train episode:102, reward = 0.7577235772357723, state count = 9, state = [7, 19, 41, 57, 67, 117, 128, 134, 158]
train episode:103, reward = 0.9601626016260163, state count = 9, state = [10, 41, 57, 67, 83, 109, 134, 147, 158]
train episode:104, reward = 0.9585365853658536, state count = 9, state = [41, 57, 67, 69, 90, 109, 134, 138, 158]
train episode:105, reward = 0.9707317073170731, state count = 9, state = [13, 30, 41, 49, 57, 67, 93, 134, 158]
train episode:106, reward = 0.9577235772357724, state count = 9, state = [6, 41, 57, 67, 109, 117, 134, 147, 158]
train episode:107, reward = 0.975609756097561, state count = 9, state = [41, 48, 57, 67, 104, 132, 134, 153, 158]
train episode:108, reward = 0.975609756097561, state count = 9, state = [12, 37, 41, 57, 67, 93, 114, 134, 158]
evaluate episode:10.9, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 109, 117, 134, 147, 158]
train episode:109, reward = 0.9796747967479674, state count = 9, state = [17, 41, 50, 57, 67, 109, 134, 153, 158]
train episode:110, reward = 0.9577235772357724, state count = 9, state = [16, 41, 57, 67, 72, 109, 134, 147, 158]
train episode:111, reward = 0.9577235772357724, state count = 9, state = [41, 46, 56, 57, 67, 109, 120, 134, 158]
train episode:112, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 106, 109, 117, 134, 147, 158]
train episode:113, reward = 0.9585365853658536, state count = 9, state = [32, 41, 57, 67, 109, 117, 134, 147, 158]
train episode:114, reward = 0.9577235772357724, state count = 9, state = [41, 44, 57, 67, 109, 134, 147, 158, 162]
train episode:115, reward = 0.9780487804878049, state count = 9, state = [31, 41, 48, 57, 67, 113, 134, 158, 160]
