train episode:110, reward = 0.8865248226950354, state count = 5, state = [34, 48, 131, 155, 168]
train episode:111, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:112, reward = 0.5460992907801419, state count = 5, state = [48, 66, 76, 131, 155]
train episode:113, reward = 0.8865248226950354, state count = 5, state = [34, 48, 131, 155, 179]
train episode:114, reward = 0.6329787234042553, state count = 5, state = [48, 49, 81, 131, 155]
train episode:115, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:116, reward = 0.7145390070921985, state count = 5, state = [48, 62, 131, 155, 166]
train episode:117, reward = 0.7819148936170213, state count = 5, state = [34, 48, 96, 131, 155]
train episode:118, reward = 0.6205673758865248, state count = 5, state = [10, 48, 50, 131, 155]
evaluate episode:11.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:119, reward = 0.7801418439716312, state count = 5, state = [34, 48, 131, 152, 155]
train episode:120, reward = 0.6382978723404256, state count = 5, state = [48, 131, 136, 155, 183]
train episode:121, reward = 0.7819148936170213, state count = 5, state = [30, 34, 48, 131, 155]
train episode:122, reward = 0.8067375886524822, state count = 5, state = [26, 34, 48, 131, 155]
train episode:123, reward = 0.7854609929078015, state count = 5, state = [34, 48, 131, 155, 182]
train episode:124, reward = 0.6312056737588653, state count = 5, state = [48, 81, 101, 131, 155]
train episode:125, reward = 0.7819148936170213, state count = 5, state = [21, 34, 48, 131, 155]
train episode:126, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:127, reward = 0.6843971631205674, state count = 5, state = [48, 74, 113, 155, 158]
train episode:128, reward = 0.7606382978723404, state count = 5, state = [34, 48, 70, 145, 155]
evaluate episode:12.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:129, reward = 0.8085106382978723, state count = 5, state = [34, 48, 131, 155, 174]
train episode:130, reward = 0.39893617021276595, state count = 5, state = [39, 48, 72, 126, 131]
train episode:131, reward = 0.8297872340425532, state count = 5, state = [34, 48, 56, 131, 155]
train episode:132, reward = 0.7819148936170213, state count = 5, state = [14, 34, 48, 131, 155]
train episode:133, reward = 0.7819148936170213, state count = 5, state = [34, 48, 70, 131, 155]
train episode:134, reward = 0.599290780141844, state count = 5, state = [9, 48, 71, 155, 170]
train episode:135, reward = 0.624113475177305, state count = 5, state = [37, 48, 83, 131, 155]
train episode:136, reward = 0.8085106382978723, state count = 5, state = [34, 48, 131, 155, 174]
train episode:137, reward = 0.8191489361702128, state count = 5, state = [48, 110, 131, 155, 176]
train episode:138, reward = 0.6205673758865248, state count = 5, state = [48, 95, 101, 131, 155]
evaluate episode:13.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:139, reward = 0.723404255319149, state count = 5, state = [48, 131, 143, 155, 179]
train episode:140, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:141, reward = 0.599290780141844, state count = 5, state = [48, 73, 131, 155, 160]
train episode:142, reward = 0.7836879432624113, state count = 5, state = [34, 48, 112, 131, 155]
train episode:143, reward = 0.7304964539007093, state count = 5, state = [34, 48, 88, 131, 155]
train episode:144, reward = 0.7819148936170213, state count = 5, state = [32, 34, 48, 131, 155]
train episode:145, reward = 0.6773049645390071, state count = 5, state = [39, 48, 131, 155, 163]
train episode:146, reward = 0.625886524822695, state count = 5, state = [7, 48, 51, 131, 182]
