train episode:125, reward = 94.71544715447155, state count = 6, state = [21, 46, 108, 129, 144, 174]
train episode:126, reward = 93.41463414634147, state count = 6, state = [3, 46, 65, 87, 109, 129]
train episode:127, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:128, reward = 92.6829268292683, state count = 6, state = [46, 69, 77, 129, 137, 174]
evaluate episode:12.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:129, reward = 92.6829268292683, state count = 6, state = [46, 59, 102, 129, 150, 174]
train episode:130, reward = 80.97560975609757, state count = 6, state = [21, 46, 53, 88, 129, 174]
train episode:131, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:132, reward = 93.90243902439023, state count = 6, state = [5, 21, 46, 129, 144, 174]
train episode:133, reward = 99.59349593495935, state count = 6, state = [21, 40, 44, 46, 129, 174]
train episode:134, reward = 94.71544715447155, state count = 6, state = [21, 24, 46, 129, 144, 174]
train episode:135, reward = 83.41463414634146, state count = 6, state = [11, 46, 53, 109, 129, 174]
train episode:136, reward = 98.53658536585365, state count = 6, state = [4, 8, 38, 46, 129, 174]
train episode:137, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:138, reward = 95.6910569105691, state count = 6, state = [21, 46, 74, 129, 144, 174]
evaluate episode:13.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:139, reward = 94.71544715447155, state count = 6, state = [46, 84, 108, 129, 144, 174]
train episode:140, reward = 92.6829268292683, state count = 6, state = [12, 21, 46, 106, 129, 174]
train episode:141, reward = 89.75609756097562, state count = 6, state = [28, 46, 129, 147, 165, 174]
train episode:142, reward = 99.67479674796748, state count = 6, state = [21, 46, 54, 129, 144, 174]
train episode:143, reward = 92.92682926829269, state count = 6, state = [35, 46, 103, 129, 143, 172]
train episode:144, reward = 99.10569105691057, state count = 6, state = [21, 33, 46, 129, 155, 174]
train episode:145, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:146, reward = 78.69918699186992, state count = 6, state = [7, 46, 89, 94, 129, 174]
train episode:147, reward = 96.9918699186992, state count = 6, state = [32, 41, 46, 129, 155, 174]
train episode:148, reward = 99.02439024390245, state count = 6, state = [6, 36, 46, 96, 129, 174]
evaluate episode:14.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:149, reward = 99.7560975609756, state count = 6, state = [21, 23, 46, 129, 144, 174]
train episode:150, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:151, reward = 93.41463414634147, state count = 6, state = [21, 46, 82, 129, 151, 174]
train episode:152, reward = 93.82113821138212, state count = 6, state = [46, 72, 129, 136, 145, 174]
train episode:153, reward = 94.71544715447155, state count = 6, state = [21, 46, 98, 129, 144, 174]
train episode:154, reward = 95.20325203252033, state count = 6, state = [46, 106, 129, 148, 174, 176]
train episode:155, reward = 98.45528455284553, state count = 6, state = [18, 32, 46, 71, 74, 167]
train episode:156, reward = 98.86178861788618, state count = 6, state = [38, 46, 129, 141, 148, 174]
train episode:157, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:158, reward = 99.7560975609756, state count = 6, state = [23, 46, 53, 124, 174, 176]
evaluate episode:15.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:159, reward = 93.2520325203252, state count = 6, state = [21, 46, 80, 122, 129, 174]
train episode:160, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:161, reward = 92.6829268292683, state count = 6, state = [21, 46, 95, 129, 137, 174]
train episode:162, reward = 97.5609756097561, state count = 6, state = [40, 46, 55, 129, 154, 174]
train episode:163, reward = 96.50406504065042, state count = 6, state = [21, 46, 100, 120, 129, 174]
train episode:164, reward = 87.3170731707317, state count = 6, state = [114, 129, 137, 141, 150, 174]
train episode:165, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
