max = 10, decision tree, 10folds
train episode:112, reward = 0.9971552927379081, state count = 10, state = [10, 15, 33, 34, 61, 83, 142, 155, 159, 163]
train episode:113, reward = 0.997560558295833, state count = 10, state = [15, 33, 34, 103, 111, 144, 146, 155, 159, 163]
train episode:114, reward = 0.9989845643892543, state count = 10, state = [10, 15, 31, 33, 34, 68, 131, 155, 159, 163]
train episode:115, reward = 0.9969524529813159, state count = 10, state = [4, 15, 33, 34, 61, 155, 159, 160, 163, 169]
train episode:116, reward = 0.9977646382388727, state count = 10, state = [10, 15, 28, 33, 34, 59, 155, 159, 160, 163]
train episode:117, reward = 0.9977642242836129, state count = 10, state = [10, 15, 33, 34, 78, 113, 155, 159, 163, 165]
train episode:118, reward = 0.9963414600559707, state count = 10, state = [10, 15, 33, 34, 88, 122, 137, 155, 159, 163]
evaluate episode:11.9, reward = 0.9975613862063524, state count = 10, state = [4, 10, 15, 33, 34, 59, 105, 155, 159, 163]
train episode:119, reward = 0.997358134173832, state count = 10, state = [10, 15, 33, 34, 57, 59, 135, 155, 159, 163]
train episode:120, reward = 0.9965459489162752, state count = 10, state = [10, 15, 33, 34, 124, 147, 155, 159, 163, 178]
train episode:121, reward = 0.9987808984014743, state count = 10, state = [10, 15, 27, 33, 34, 53, 59, 155, 159, 163]
train episode:122, reward = 0.9975617984822804, state count = 10, state = [10, 15, 33, 34, 45, 48, 100, 155, 159, 163]
train episode:123, reward = 0.9975613862063524, state count = 10, state = [1, 10, 15, 33, 34, 59, 138, 155, 159, 163]
train episode:124, reward = 0.9991869918699188, state count = 10, state = [15, 33, 35, 40, 45, 84, 124, 155, 159, 163]
train episode:125, reward = 0.9977646382388727, state count = 10, state = [10, 15, 33, 34, 59, 105, 120, 155, 159, 163]
train episode:126, reward = 0.9991874041458468, state count = 10, state = [15, 26, 33, 88, 115, 155, 159, 162, 163, 175]
train episode:127, reward = 0.9967475501657518, state count = 10, state = [15, 32, 33, 80, 84, 89, 126, 155, 159, 163]
train episode:128, reward = 0.9975613862063524, state count = 10, state = [10, 11, 15, 33, 34, 59, 155, 159, 163, 179]
evaluate episode:12.9, reward = 0.9977646382388727, state count = 10, state = [10, 15, 33, 34, 59, 61, 105, 155, 159, 163]
train episode:129, reward = 0.9971548821413118, state count = 10, state = [15, 29, 33, 34, 85, 153, 155, 159, 163, 179]
train episode:130, reward = 0.9969524529813159, state count = 10, state = [15, 33, 34, 42, 85, 90, 118, 155, 159, 163]
train episode:131, reward = 0.9977650505148008, state count = 10, state = [10, 15, 33, 34, 38, 59, 77, 155, 159, 163]
train episode:132, reward = 0.9977646382388727, state count = 10, state = [10, 15, 33, 34, 59, 61, 79, 155, 159, 163]
train episode:133, reward = 0.9963426968837549, state count = 10, state = [2, 10, 15, 33, 34, 53, 81, 155, 159, 163]
train episode:134, reward = 0.9971548821413118, state count = 10, state = [1, 10, 15, 28, 33, 34, 155, 159, 163, 175]
train episode:135, reward = 0.9961382080234504, state count = 10, state = [10, 15, 24, 33, 34, 65, 128, 155, 159, 163]
train episode:136, reward = 0.9977646382388727, state count = 10, state = [10, 15, 33, 34, 42, 59, 155, 158, 159, 163]
train episode:137, reward = 0.9957321179136696, state count = 10, state = [15, 33, 35, 106, 107, 139, 159, 163, 167, 178]
train episode:138, reward = 0.9973585464497601, state count = 10, state = [15, 33, 34, 45, 66, 76, 93, 155, 159, 163]
evaluate episode:13.9, reward = 0.9975613862063524, state count = 10, state = [4, 10, 15, 33, 34, 59, 105, 155, 159, 163]
train episode:139, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 133, 155, 159, 163, 170]
train episode:140, reward = 0.9993902422231074, state count = 10, state = [5, 10, 15, 33, 34, 54, 95, 155, 159, 163]
train episode:141, reward = 0.9975613862063524, state count = 10, state = [4, 10, 15, 33, 34, 59, 105, 155, 159, 163]
train episode:142, reward = 0.9983727418740583, state count = 10, state = [15, 22, 33, 34, 51, 86, 110, 155, 159, 163]
train episode:143, reward = 0.997358134173832, state count = 10, state = [10, 15, 33, 34, 59, 91, 93, 155, 159, 163]
train episode:144, reward = 0.9971540542307924, state count = 10, state = [10, 15, 33, 34, 43, 57, 59, 155, 159, 163]
train episode:145, reward = 0.9977658750666569, state count = 10, state = [10, 15, 33, 34, 44, 73, 93, 155, 159, 163]
train episode:146, reward = 0.997358134173832, state count = 10, state = [15, 33, 34, 86, 112, 144, 154, 155, 159, 163]
train episode:147, reward = 0.9965459489162752, state count = 10, state = [10, 12, 15, 33, 34, 35, 134, 155, 159, 163]
train episode:148, reward = 0.997154468186052, state count = 10, state = [15, 33, 34, 52, 139, 141, 155, 159, 163, 171]
evaluate episode:14.9, reward = 0.9977646382388727, state count = 10, state = [4, 10, 15, 33, 34, 59, 61, 155, 159, 163]
train episode:149, reward = 0.9977642242836129, state count = 10, state = [15, 33, 34, 93, 101, 113, 155, 159, 163, 165]
train episode:150, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 95, 125, 155, 159, 163]
train episode:151, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 85, 155, 159, 163, 180]
train episode:152, reward = 0.9973585447704284, state count = 10, state = [15, 33, 56, 65, 102, 129, 155, 159, 163, 183]
train episode:153, reward = 0.9969516301087914, state count = 10, state = [10, 15, 28, 33, 34, 155, 156, 159, 163, 178]
train episode:154, reward = 0.9965459489162752, state count = 10, state = [15, 33, 34, 92, 104, 116, 142, 155, 159, 163]
train episode:155, reward = 0.9975613862063524, state count = 10, state = [4, 10, 15, 33, 34, 59, 133, 155, 159, 163]
train episode:156, reward = 0.997967890271393, state count = 10, state = [10, 15, 33, 34, 59, 61, 118, 155, 159, 163]
train episode:157, reward = 0.9977646382388727, state count = 10, state = [10, 15, 33, 34, 59, 85, 113, 155, 159, 163]
train episode:158, reward = 0.9973585447704284, state count = 10, state = [15, 33, 34, 73, 119, 134, 155, 159, 163, 170]
evaluate episode:15.9, reward = 0.9977646382388727, state count = 10, state = [4, 10, 15, 33, 34, 59, 61, 155, 159, 163]
train episode:159, reward = 0.9985780603242137, state count = 10, state = [15, 33, 34, 40, 107, 134, 145, 155, 159, 163]
train episode:160, reward = 0.9965459489162752, state count = 10, state = [10, 15, 32, 33, 34, 71, 155, 159, 163, 166]
train episode:161, reward = 0.9971540542307924, state count = 10, state = [15, 21, 33, 34, 108, 109, 155, 159, 163, 178]
train episode:162, reward = 0.9987817246326621, state count = 10, state = [15, 33, 34, 40, 135, 138, 139, 155, 159, 163]
train episode:163, reward = 0.9965467751474628, state count = 10, state = [10, 15, 33, 34, 46, 49, 82, 155, 159, 163]
train episode:164, reward = 0.9977650505148008, state count = 10, state = [10, 15, 33, 34, 59, 128, 155, 159, 163, 183]
train episode:165, reward = 0.9983743943364336, state count = 10, state = [10, 15, 33, 34, 44, 59, 62, 155, 159, 163]
train episode:166, reward = 0.9969524529813159, state count = 10, state = [15, 33, 34, 49, 75, 122, 155, 159, 161, 163]
train episode:167, reward = 0.9977646382388727, state count = 10, state = [10, 15, 33, 34, 59, 61, 74, 155, 159, 163]
train episode:168, reward = 0.9983748082916934, state count = 10, state = [10, 15, 33, 34, 59, 61, 68, 155, 159, 163]
evaluate episode:16.9, reward = 0.9977646382388727, state count = 10, state = [4, 10, 15, 33, 34, 59, 61, 155, 159, 163]
train episode:169, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 39, 59, 106, 155, 159, 163]
train episode:170, reward = 0.997967890271393, state count = 10, state = [10, 15, 24, 33, 34, 59, 61, 155, 159, 163]
train episode:171, reward = 0.9967492009487955, state count = 10, state = [10, 15, 21, 33, 34, 85, 115, 155, 159, 163]
train episode:172, reward = 0.9977646382388727, state count = 10, state = [10, 15, 33, 34, 55, 59, 122, 155, 159, 163]
train episode:173, reward = 0.9977650505148008, state count = 10, state = [10, 15, 33, 34, 38, 88, 99, 155, 159, 163]
train episode:174, reward = 0.9973593710016162, state count = 10, state = [10, 15, 16, 33, 34, 37, 142, 155, 159, 163]
train episode:175, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 61, 114, 155, 159, 163]
train episode:176, reward = 0.997967890271393, state count = 10, state = [15, 33, 79, 88, 114, 139, 155, 159, 163, 170]
train episode:177, reward = 0.997967890271393, state count = 10, state = [10, 15, 33, 34, 59, 66, 155, 159, 163, 167]
train episode:178, reward = 0.9971552944172398, state count = 10, state = [10, 15, 33, 34, 46, 67, 70, 155, 159, 163]
evaluate episode:17.9, reward = 0.9977646382388727, state count = 10, state = [4, 10, 15, 33, 34, 59, 61, 155, 159, 163]
train episode:179, reward = 0.9979674763161335, state count = 10, state = [15, 19, 33, 34, 151, 155, 157, 159, 163, 170]
train episode:180, reward = 0.9965459489162752, state count = 10, state = [10, 15, 33, 34, 108, 129, 155, 159, 163, 166]
train episode:181, reward = 0.9967492009487955, state count = 10, state = [1, 7, 10, 15, 33, 34, 53, 155, 159, 163]
train episode:182, reward = 0.9975609722510926, state count = 10, state = [10, 15, 33, 34, 59, 137, 141, 155, 159, 163]
train episode:183, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 104, 154, 155, 159, 163]
train episode:184, reward = 0.9975613862063524, state count = 10, state = [10, 11, 15, 33, 34, 59, 155, 159, 163, 180]
train episode:185, reward = 0.9983743943364336, state count = 10, state = [10, 15, 33, 34, 55, 56, 59, 155, 159, 163]
train episode:186, reward = 0.9981707283486536, state count = 10, state = [15, 17, 33, 34, 69, 103, 134, 155, 159, 163]
train episode:187, reward = 0.997358134173832, state count = 10, state = [4, 10, 15, 33, 34, 59, 92, 155, 159, 163]
train episode:188, reward = 0.9975613862063524, state count = 10, state = [2, 10, 15, 29, 33, 34, 99, 155, 159, 163]
evaluate episode:18.9, reward = 0.9977646382388727, state count = 10, state = [4, 10, 15, 33, 34, 59, 61, 155, 159, 163]
train episode:189, reward = 0.996544712088491, state count = 10, state = [15, 20, 33, 34, 87, 133, 141, 155, 159, 163]
train episode:190, reward = 0.9981707283486536, state count = 10, state = [15, 19, 33, 34, 80, 119, 153, 155, 159, 163]
train episode:191, reward = 0.9971557050138362, state count = 10, state = [10, 14, 15, 33, 34, 78, 116, 155, 159, 163]
train episode:192, reward = 0.9967492009487955, state count = 10, state = [4, 10, 15, 33, 34, 147, 154, 155, 159, 163]
train episode:193, reward = 0.9971557050138362, state count = 10, state = [4, 10, 15, 33, 34, 41, 115, 155, 159, 163]
train episode:194, reward = 0.997764636559541, state count = 10, state = [15, 22, 33, 34, 86, 107, 155, 159, 163, 177]
train episode:195, reward = 0.9939020200311355, state count = 10, state = [15, 33, 75, 81, 89, 149, 154, 155, 159, 163]
train episode:196, reward = 0.9989837381580667, state count = 10, state = [6, 10, 15, 19, 33, 34, 54, 155, 159, 163]
train episode:197, reward = 0.9969524529813159, state count = 10, state = [10, 15, 33, 34, 39, 41, 96, 155, 159, 163]
train episode:198, reward = 0.9967492009487955, state count = 10, state = [4, 10, 15, 33, 34, 132, 137, 155, 159, 163]
evaluate episode:19.9, reward = 0.9967492009487955, state count = 10, state = [4, 10, 15, 33, 34, 49, 61, 155, 159, 163]
train episode:199, reward = 0.9965459489162752, state count = 10, state = [10, 15, 33, 34, 50, 76, 151, 155, 159, 163]
train episode:200, reward = 0.997764636559541, state count = 10, state = [15, 22, 24, 33, 34, 41, 155, 159, 163, 171]
train episode:201, reward = 0.994510535942249, state count = 8, state = [15, 33, 41, 49, 75, 93, 159, 163]
train episode:202, reward = 0.9967492009487955, state count = 10, state = [15, 33, 34, 92, 105, 142, 155, 159, 163, 181]
train episode:203, reward = 0.9991874041458468, state count = 10, state = [9, 15, 26, 33, 60, 78, 89, 124, 159, 163]
train episode:204, reward = 0.9969516301087914, state count = 10, state = [15, 22, 33, 60, 95, 134, 144, 155, 159, 163]
train episode:205, reward = 0.9967492009487955, state count = 10, state = [10, 15, 30, 33, 34, 105, 155, 159, 163, 170]
train episode:206, reward = 0.9985768218170981, state count = 10, state = [15, 22, 30, 33, 39, 40, 86, 107, 159, 163]
train episode:207, reward = 0.9965459489162752, state count = 10, state = [10, 15, 33, 34, 49, 76, 118, 155, 159, 163]
train episode:208, reward = 0.9991874041458468, state count = 10, state = [15, 33, 36, 41, 47, 97, 155, 159, 163, 183]
