max = 8, decision tree, 10folds
train episode:131, reward = 0.9995934959349594, state count = 8, state = [26, 56, 85, 87, 158, 163, 170, 174]
train episode:132, reward = 0.9983743960157655, state count = 8, state = [26, 42, 56, 87, 115, 121, 132, 158]
train episode:133, reward = 0.9985776480482859, state count = 8, state = [26, 56, 72, 87, 114, 158, 170, 174]
train episode:134, reward = 0.9993906561783671, state count = 8, state = [26, 56, 87, 126, 131, 158, 170, 174]
train episode:135, reward = 0.9989841521133265, state count = 8, state = [26, 56, 65, 87, 134, 142, 158, 174]
train episode:136, reward = 0.9884150380256111, state count = 8, state = [16, 30, 56, 76, 78, 87, 122, 158]
train episode:137, reward = 0.9989841521133265, state count = 8, state = [10, 26, 32, 56, 87, 158, 170, 174]
train episode:138, reward = 0.9991865779146589, state count = 8, state = [26, 43, 56, 75, 87, 144, 158, 174]
evaluate episode:13.9, reward = 0.9989841521133265, state count = 8, state = [11, 26, 56, 72, 87, 158, 170, 174]
train episode:139, reward = 0.9987809000808061, state count = 8, state = [26, 30, 53, 56, 87, 123, 158, 174]
train episode:140, reward = 0.9991878164217747, state count = 8, state = [6, 13, 26, 47, 56, 87, 158, 182]
train episode:141, reward = 0.9979678919507249, state count = 8, state = [16, 26, 56, 72, 87, 158, 170, 174]
train episode:142, reward = 0.8906445221258499, state count = 5, state = [56, 87, 130, 140, 158]
train episode:143, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 148, 158, 170, 174, 181]
train episode:144, reward = 0.9987809000808061, state count = 8, state = [26, 56, 61, 72, 87, 158, 170, 174]
train episode:145, reward = 0.9983743960157655, state count = 8, state = [20, 26, 50, 56, 87, 158, 159, 165]
train episode:146, reward = 0.9985776480482859, state count = 8, state = [26, 56, 58, 87, 142, 158, 170, 174]
train episode:147, reward = 0.9985776480482859, state count = 8, state = [26, 56, 72, 87, 103, 158, 170, 174]
train episode:148, reward = 0.999390243902439, state count = 8, state = [26, 48, 56, 68, 87, 128, 158, 163]
evaluate episode:14.9, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 123, 158, 170, 174]
train episode:149, reward = 0.9989841521133265, state count = 8, state = [26, 56, 87, 102, 155, 158, 170, 174]
train episode:150, reward = 0.9987809000808061, state count = 8, state = [26, 56, 80, 87, 94, 99, 133, 158]
train episode:151, reward = 0.9995934959349594, state count = 8, state = [17, 26, 56, 87, 106, 120, 158, 159]
train episode:152, reward = 0.9993906561783671, state count = 8, state = [7, 26, 56, 87, 158, 170, 172, 174]
train episode:153, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 111, 127, 139, 149, 158]
train episode:154, reward = 0.9989841521133265, state count = 8, state = [26, 35, 56, 87, 123, 158, 170, 174]
train episode:155, reward = 0.9983743960157655, state count = 8, state = [8, 26, 56, 83, 87, 158, 170, 174]
train episode:156, reward = 0.9991874041458468, state count = 8, state = [1, 7, 26, 56, 67, 87, 106, 158]
train episode:157, reward = 0.9991874041458468, state count = 8, state = [26, 50, 56, 87, 117, 158, 170, 174]
train episode:158, reward = 0.9987809000808061, state count = 8, state = [26, 48, 56, 87, 106, 114, 158, 174]
evaluate episode:15.9, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 123, 158, 170, 174]
train episode:159, reward = 0.9993906561783671, state count = 8, state = [26, 27, 56, 72, 87, 158, 170, 174]
train episode:160, reward = 0.9987809000808061, state count = 8, state = [26, 34, 56, 87, 117, 158, 170, 174]
train episode:161, reward = 0.9991874041458468, state count = 8, state = [26, 56, 87, 101, 156, 158, 170, 174]
train episode:162, reward = 0, state count = 0, state = []
train episode:163, reward = 0.9991874041458468, state count = 8, state = [26, 36, 56, 87, 140, 158, 174, 178]
train episode:164, reward = 0.9991874041458468, state count = 8, state = [26, 56, 79, 87, 130, 158, 170, 174]
train episode:165, reward = 0.9989841521133265, state count = 8, state = [26, 56, 72, 87, 96, 158, 170, 174]
train episode:166, reward = 0.9987804844462145, state count = 8, state = [10, 23, 56, 69, 75, 87, 150, 158]
train episode:167, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 104, 123, 158, 170, 174]
train episode:168, reward = 0.9987809000808061, state count = 8, state = [26, 27, 56, 87, 141, 158, 173, 174]
evaluate episode:16.9, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 123, 158, 170, 174]
train episode:169, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 123, 158, 170, 174]
train episode:170, reward = 0.9983743960157655, state count = 8, state = [2, 21, 26, 56, 87, 158, 165, 174]
train episode:171, reward = 0.9995934959349594, state count = 8, state = [26, 56, 87, 91, 120, 158, 163, 168]
train episode:172, reward = 0.9995934959349594, state count = 8, state = [17, 26, 56, 87, 106, 158, 170, 174]
train episode:173, reward = 0.9989841521133265, state count = 8, state = [26, 27, 56, 87, 116, 136, 158, 174]
train episode:174, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 96, 153, 158, 170, 174]
train episode:175, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 90, 97, 158, 170, 174]
train episode:176, reward = 0.9983743960157655, state count = 8, state = [26, 52, 56, 69, 77, 87, 157, 158]
train episode:177, reward = 0.9989841521133265, state count = 8, state = [26, 28, 56, 87, 123, 158, 170, 174]
train episode:178, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 90, 123, 158, 170, 174]
evaluate episode:17.9, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 123, 155, 158, 170, 174]
train episode:179, reward = 0.9985776480482859, state count = 8, state = [26, 56, 84, 87, 126, 158, 170, 174]
train episode:180, reward = 0.9997971602434077, state count = 8, state = [26, 47, 56, 84, 87, 151, 158, 182]
train episode:181, reward = 0.9987809000808061, state count = 8, state = [21, 26, 45, 56, 87, 158, 170, 174]
train episode:182, reward = 0.9991874041458468, state count = 8, state = [15, 26, 56, 87, 107, 158, 169, 174]
train episode:183, reward = 0.9989841521133265, state count = 8, state = [26, 56, 75, 87, 142, 152, 158, 174]
train episode:184, reward = 0.9993906561783671, state count = 8, state = [14, 26, 56, 87, 102, 113, 158, 168]
train episode:185, reward = 0.9993898299471793, state count = 8, state = [22, 26, 45, 56, 87, 158, 170, 174]
train episode:186, reward = 0.9985776480482859, state count = 8, state = [15, 26, 56, 87, 97, 158, 174, 178]
train episode:187, reward = 0.9989841521133265, state count = 8, state = [8, 26, 39, 56, 87, 158, 170, 174]
train episode:188, reward = 0.9991874041458468, state count = 8, state = [26, 56, 87, 130, 158, 170, 174, 179]
evaluate episode:18.9, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 123, 155, 158, 170, 174]
train episode:189, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 123, 154, 158, 170, 174]
train episode:190, reward = 0.9987809000808061, state count = 8, state = [26, 56, 74, 87, 158, 170, 174, 180]
train episode:191, reward = 0.9995934959349594, state count = 8, state = [26, 56, 87, 155, 158, 163, 170, 174]
train episode:192, reward = 0.9989841521133265, state count = 8, state = [26, 56, 87, 134, 143, 145, 158, 174]
train episode:193, reward = 0.9987809000808061, state count = 8, state = [26, 34, 56, 87, 90, 158, 174, 179]
train episode:194, reward = 0.9985776480482859, state count = 8, state = [23, 26, 53, 56, 87, 158, 170, 174]
train episode:195, reward = 0.9991874041458468, state count = 8, state = [26, 56, 87, 115, 155, 158, 170, 174]
train episode:196, reward = 0.9991869918699188, state count = 8, state = [10, 26, 56, 87, 111, 152, 158, 162]
train episode:197, reward = 0.9989841521133265, state count = 8, state = [26, 41, 56, 87, 155, 158, 170, 174]
train episode:198, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 121, 155, 158, 170, 174]
evaluate episode:19.9, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 123, 155, 158, 170, 174]
train episode:199, reward = 0.9548747069104397, state count = 8, state = [24, 56, 74, 87, 91, 121, 158, 174]
train episode:200, reward = 0.9987809000808061, state count = 8, state = [26, 56, 85, 87, 155, 158, 170, 174]
train episode:201, reward = 0.9985776480482859, state count = 8, state = [26, 56, 60, 87, 91, 101, 158, 173]
train episode:202, reward = 0.9985776480482859, state count = 8, state = [26, 42, 56, 87, 158, 160, 161, 174]
train episode:203, reward = 0.9987809000808061, state count = 8, state = [26, 44, 56, 87, 155, 158, 170, 174]
train episode:204, reward = 0.9987809000808061, state count = 8, state = [16, 26, 56, 87, 158, 170, 174, 181]
train episode:205, reward = 0.9739841319613461, state count = 8, state = [19, 39, 50, 56, 59, 63, 87, 158]
train episode:206, reward = 0.9993906561783671, state count = 8, state = [21, 26, 56, 72, 87, 158, 170, 174]
train episode:207, reward = 0.9985776480482859, state count = 8, state = [26, 56, 72, 87, 116, 158, 170, 174]
train episode:208, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 119, 135, 158, 170, 174]
evaluate episode:20.9, reward = 0.9989841521133265, state count = 8, state = [26, 56, 72, 87, 155, 158, 170, 174]
train episode:209, reward = 0.9983743960157655, state count = 8, state = [24, 26, 56, 72, 87, 158, 170, 174]
train episode:210, reward = 0.9991874041458468, state count = 8, state = [3, 26, 30, 38, 56, 87, 158, 174]
train episode:211, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 158, 165, 170, 174, 175]
train episode:212, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 73, 87, 158, 170, 174]
train episode:213, reward = 0.9989841521133265, state count = 8, state = [11, 26, 56, 72, 87, 158, 170, 174]
train episode:214, reward = 0.9991869918699188, state count = 8, state = [26, 56, 87, 101, 122, 158, 164, 174]
train episode:215, reward = 0.9991874041458468, state count = 8, state = [26, 43, 56, 87, 158, 160, 170, 174]
train episode:216, reward = 0.9983743960157655, state count = 7, state = [26, 46, 56, 87, 96, 125, 158]
train episode:217, reward = 0.9989841521133265, state count = 8, state = [26, 56, 80, 87, 108, 128, 158, 174]
train episode:218, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 92, 114, 119, 143, 158]
evaluate episode:21.9, reward = 0.9989841521133265, state count = 8, state = [11, 26, 56, 72, 87, 158, 170, 174]
train episode:219, reward = 0.9987809000808061, state count = 8, state = [2, 26, 42, 56, 87, 88, 94, 158]
train episode:220, reward = 0.9983743960157655, state count = 8, state = [18, 26, 56, 83, 87, 114, 158, 174]
train episode:221, reward = 0.9991874041458468, state count = 8, state = [24, 26, 56, 61, 87, 158, 170, 174]
train episode:222, reward = 0.9991874041458468, state count = 8, state = [26, 42, 56, 87, 126, 130, 158, 174]
train episode:223, reward = 0.9987809000808061, state count = 8, state = [4, 26, 36, 56, 87, 119, 158, 174]
train episode:224, reward = 0.9989841521133265, state count = 8, state = [26, 56, 86, 87, 108, 158, 166, 174]
train episode:225, reward = 0.9993906561783671, state count = 8, state = [26, 30, 56, 79, 87, 142, 158, 174]
train episode:226, reward = 0.9993906561783671, state count = 8, state = [26, 47, 56, 87, 109, 158, 170, 174]
train episode:227, reward = 0.9989841521133265, state count = 8, state = [18, 26, 56, 87, 149, 158, 170, 174]
train episode:228, reward = 0.9991874041458468, state count = 8, state = [26, 39, 50, 56, 87, 158, 172, 174]
evaluate episode:22.9, reward = 0.9989841521133265, state count = 8, state = [18, 26, 56, 72, 87, 158, 170, 174]
train episode:229, reward = 0.9989841521133265, state count = 8, state = [10, 26, 56, 87, 135, 158, 170, 174]
train episode:230, reward = 0.9991874041458468, state count = 8, state = [18, 26, 56, 57, 87, 158, 170, 174]
train episode:231, reward = 0.9987809000808061, state count = 8, state = [26, 56, 82, 85, 87, 127, 158, 174]
train episode:232, reward = 0.9989841521133265, state count = 8, state = [26, 56, 82, 87, 109, 158, 170, 174]
train episode:233, reward = 0.9987809000808061, state count = 8, state = [18, 26, 35, 56, 87, 158, 170, 174]
train episode:234, reward = 0.9991874041458468, state count = 8, state = [18, 26, 56, 87, 125, 158, 170, 174]
train episode:235, reward = 0.9987809000808061, state count = 8, state = [26, 53, 56, 87, 116, 139, 158, 174]
train episode:236, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 121, 137, 158, 174, 177]
train episode:237, reward = 0.9981711439832452, state count = 8, state = [26, 53, 56, 82, 87, 158, 165, 174]
train episode:238, reward = 0.9989841521133265, state count = 8, state = [18, 26, 56, 86, 87, 158, 170, 174]
evaluate episode:23.9, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 86, 87, 158, 170, 174]
train episode:239, reward = 0.936785671498742, state count = 8, state = [37, 56, 71, 87, 154, 158, 170, 171]
train episode:240, reward = 0.9985776480482859, state count = 8, state = [26, 56, 57, 87, 109, 158, 170, 174]
train episode:241, reward = 0.9989841521133265, state count = 8, state = [12, 26, 56, 86, 87, 158, 170, 174]
train episode:242, reward = 0.9983743960157655, state count = 8, state = [15, 26, 56, 87, 140, 145, 158, 181]
